absent-minded    roztargniony
stop             przystanek, zatrzymac sie, przestac
story            opowiadanie, historyjka
street           ulica
student          student, stydentka
study            studiowac
sugar            cukier
suitcase         walizka
summer           lato
Sunday           niedziela
suppose          przypuszczac
surely           chyba, pewnie, z pewnoscia, przeciez
sure             pewny
surgery          gabinet lekarski
Susan            Zuzanna
swimmer          plywak, plywaczka
swim             plywac
table            stol
take office      obejmowac urzad
take off         startowac (o samolocie)
take out         wyjac
take             brac, zabrac, zaprowadzic, zaniesc
talent           talent
talented         utalentowany
tape             tasma
taste            smak
tax              podatek
taxi             ( o samolocie) toczyc sie po pasie startowym
technological    technologiczny, techniczny
technology       technologia, technika
telescope        teleskop
terminal         stacja koncowa, tu: dworzec lotniczy (w miescie)
test             wyprobowac
theirs           ich (zaimek dzierzawny)
themselves       zaimek zwrotny i emfatyczny 3 os. l. mn.
thorouhg         dokladny
though           chociaz, jednakze
thoughtful       powazny
throat           gardlo
through          przez
thus             w ten sposob
time-table       rozklad zajec, rozklad jazdy
tip              czubek
towards          ku, w kierunku
tradition        tradycja
traditional      tradycyjny
train            szkolic
training         szkolenie
treasure         skarb
treat            traktowac
trip             wycieczka
trauble          sprawic klopot
true             prawdziwy
truth            prawda
tunnel           tunel
turn             kolej
turning          zakret
turn out         okazac sie
twist            wykrecac
two-way          w obydwie strony
typewritten      napisany na maszynie
typist           maszynistka
talk             rozmawiac
tall             wysoki
taxi             taksowka
teacher          nauczyciel(ka)
teach            uczyc
tea              herbata
tea-shop         restauracja, herbaciarnia
telephone        telefon, telefonowac
television       telewizja
televison set    telewizor
tell             powiedziec
tennis           tenis
tent             namiot
ten              dziesiec
thanks           dzieki
thank            dziekowac
that             ten, tamten, to
their            ich
them             ich, nich, im, nimi
then             wtedy, wiec, potem
there            tam
these            te, ci
they             oni, one
the              przedimek okreslony
thing            rzecz
think            myslec
thin             cienki, chudy, szczuply
thirteen         trzynascie
this             ten, to
those            ci, te, tamci, tamte
three            trzy
Thursday         czwartek
tie              krawat
till             az, az do, dopoki
times            razy
time             czas, godzina, pora
tired            zmeczony
toast            grzanka, chleb przypieczony
today            dzisiaj
together         razem
told             imieslow bierny czasownika tell - powiedziec
tomorrow         jutro
tonight          dzis wieczorem
too              takze
too              takze, rowniez
top              wierzch, gora, gorny, najwyzszy, wierzcholek
tour             wycieczka
town             miasto
to               do
train            pociag
travel           podroz, podrozowac
trouble          klopot, zmartwienie
try              starac sie, probowac, usilowac
Tuesday          wtorek
tulip            tulipany
twelve           dwanascie
twenty           dwadziescia
two              dwa
ugliness         brzydota
ugly             brzydki
understood       forma Simple Past i Past Participle czasownika: understand - rozumiec
unexpected       nieoczekiwany
unemployment     bezrobocie
unimportand      niewazny
united           zjednoczony
unjust           niesprawiedliwy
unlike           inaczej
unlikely         nieprawdopodobny
unpleasant       nieprzyjemny
untouched        nienaruszony
unusual          niezwykly
useful           pozyteczny
usual            zwykly
understand       rozumiec
under            pod
upstairs         na pietrze, na gorze, na pietro, na gore
up               w gorze, w gore
us               nas, nam, nami
vacant           wolny, niezamieszkaly
various          rozmaity, roznorodny
Viktorian        wiktorianski (z czasow krolowej Wiktorii)
violent          gwaltowny
visa             wiza
visitor          gosc, zwiedzajacy
voyage           podroz woda
vase             wazon
very             bardzo
view             widok, poglad
village          wies
visit            wizyta, odwiedzac
waiting-room     poczekalnia
wait             czekac
wake up          obudzic sie
walk             spacer, chodzic
wall             sciana, mur
want             chciec
war              wojna
waste            tracic, strata
weed             plec
weight           wazyc
welfare          dobrobyt
welfare officer  pracownik zajmujacy sie sprawami socjalno-bytowymi
well-kept        dobrze utrzymany
whatever         cokolwiek, jakikolwiek
wheat            pszenica
whenever         kiedykolwiek
while            podczas gdy
whether          czy
wide             szeroki
wife             zona
within           w obrebie, wewnatrz
without          bez
woke             forma Simple Past czasownika: wake - obudzic (sie)
wooden           drewniany
workaday         powszedni, dotyczacy dnia powszedniego
workman          robotnik
works            zaklad przemyslowy
workshop         warsztat
worst            najgorszy, najgorzej
worth            wart
wretch           lotr, nieszczesnik
wretched         nieszczesny
washing-machine  pralka
wash up          zmywac
wash             myc, prac
watch            zegarek, ogladac
water            woda
way              droga, sposob
wear             nasic na sobie
Wednesday        sroda
week             tydzien
week-end         koniec tygodnia, sobota i niedziela
well             no, no wiec, otoz, dobrze, coz, no coz
we               my
what             co, jaki
when             kiedy
where            gdzie
white            bialy
whose            czyj
who              kto
why              dlaczego
window           okno
winter           zima
with             z, za pomoca
wolf             wilk
woman            kobieta
women            kobiety
work             praca,pracowac
worry            zmartwienie, martwic sie
write            pisac
written          imieslow bierny czasownika write - pisac
wrong            zly, bledny, falszywy, niesluszny
yacht            jacht
youngster        chlopak
yours            twoj, wasz
yourself         (ty) sie, siebie, sobie, soba, sam
yourselves       (wy) sie, siebie, sobie, soba, sami
yellow           zolty
yes              tak
yet              jeszcze, jednak
young            mlody
your             twoj, wasz
you are dear     jestes kochana, jestes strasznie dobra
you silly boy    ty gluptasie
you              ty, wy, ciebie, was, toba, wami, tobie, wam 
few        	 kilka
little           troche
mistaken         mylic sie
